 "Places" , "Coordinates" ,
 "Chicago" , "49.33725,11.42854" ,
 "Munich" , "48.1372,11.5755" ,
 "Neuchatel" , "46.990277777778,6.9305555555556" ,
 "University of Chicago" , "41.789722222222,-87.599722222222" ,
 "Washington" , "38.895,-77.036666666667" ,
 "Strasbourg" , "48.573333333333,7.7522222222222" ,
 "University of Nebraska-Lincoln" , "40.8175,-96.701388888889" ,
 "University of St Andrew UK" , "56.341214,-2.793011" ,
 "University of Toronto Scientific Instruments Collection" , "43.662917,-79.395746" ,
